Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label_multiclass,label_binary
-0.660219,-0.27003175,0.43901703,0.2330428,-0.36891428,-0.085285924,-0.24289785,0.36892414,0.039561383,0.64626104,0.15199688,-0.057806794,0.6066902,0.10058319,0.3873838,0.37979022,0.48041016,0.80165035,0.16657293,0.11445979,0.78873056,0.33154184,0.8042301,-0.096684776,-0.075537965,0.4501891,0.18144506,0.5205953,0.3963274,0.7616132,-0.3481099,0.14778969,-0.3953145,-0.29232693,0.23296867,-0.14975964,0.06889567,0.5117692,0.24247997,0.17107092,0.3331258,0.1108777,0.48870823,0.24462348,0.22582321,-0.21258,0.47433248,0.51845264,0.11672316,0.15146966,0.1593842,0.56999415,-0.094054274,0.45165905,-0.5286828,0.10850423,0.41005787,-0.59003776,0.70470184,0.06343218,0.7922839,0.6276476,0.91257,-0.07038167,0.76450884,0.8868552,4,1
-0.87834066,-0.7276369,0.7117951,0.73035526,-0.3085062,-0.71114826,-0.11327314,0.09844011,-0.06689039,0.8956146,0.004842363,-0.40511215,0.30485693,0.1139673,0.14269558,0.67989385,0.2797228,0.18023796,-0.54104275,0.8674245,0.15957785,0.39500442,0.3927873,-0.47949782,0.45999366,0.5911404,0.47825658,0.45690417,-0.10142767,0.59360015,0.10658355,-0.77766246,-0.54338044,-0.589067,0.6949989,0.1724081,0.23437479,0.0022235326,0.3876126,-0.24438886,-0.062027756,-0.005286823,0.49981552,0.26744774,0.5402573,0.109108225,0.27580175,0.2734743,0.51016855,0.5258197,-0.17593347,0.054013964,0.15671127,0.09524616,-0.46071887,-0.4327616,0.668614,-0.7880295,0.31908128,0.57366496,0.402887,0.72565997,0.6910208,-0.41027784,0.6116447,-0.11797513,3,1
-0.6623363,-0.82262444,0.53871405,-0.35134023,-0.6274337,-0.852586,-0.6884505,0.49364755,-0.4062175,0.41989446,-0.72663456,-0.39388224,-0.59890723,-0.7172376,0.4025381,0.33220944,0.50461304,0.5928855,-0.48403147,0.7150546,0.051476445,0.38992998,-0.12387034,-0.53106827,-0.32831755,0.6458928,0.42004904,0.16779247,-0.5449469,0.8628966,0.20616159,-0.90372944,-0.39031228,-0.35519272,0.7678538,0.087998904,-0.32650498,-0.79552114,-0.50903964,-0.84263986,0.0880742,0.26370755,0.46420547,0.18538803,0.07276737,0.020342236,-0.41676956,0.23387806,-0.7607047,-0.24142656,-0.23522393,-0.43050918,-0.73101354,-0.70349294,0.556055,0.14945623,0.34794253,-0.41017997,0.562122,0.31335524,0.44766212,0.42146075,0.092336625,-0.43582743,0.6127261,-0.3920564,10,1
-0.97208375,-0.73704785,0.32773304,0.022964038,-0.6778409,-0.63990444,-0.5297997,0.26355433,-0.6709836,0.62432826,-0.82405305,-0.114423245,-0.7618281,-0.34256503,0.29479474,0.28365672,0.57400924,-0.11569961,-0.8240277,0.6482355,0.19242269,-0.0778388,-0.12039278,-0.49918354,-0.6650521,0.20214957,-0.048011642,-0.7415224,-0.4629046,-0.38837597,-0.46219674,-0.61797476,-0.0817071,-0.12752227,0.74139166,0.16588706,-0.65126514,-0.57170814,-0.2942286,-0.287959,-0.23494746,0.35334727,0.3637276,0.05539121,0.120931014,0.18212406,-0.24912535,0.522909,-0.30042037,0.38681418,-0.37272298,-0.45256835,-0.38501808,-0.4575221,0.39539436,0.6296639,0.077539735,-0.5296977,0.3093449,0.30081517,-0.12641966,0.4892417,0.15734597,-0.25507954,0.14951849,0.36527315,11,1
-0.8698736,-0.80490756,0.017447764,-0.42334044,-0.32882246,-0.24817236,-0.5028431,0.25631258,-0.631598,0.7992633,-0.61664844,-0.46970296,-0.76965183,-0.4649814,0.18588687,0.33918878,0.63387454,0.18407504,-0.6683579,0.6209096,-0.12769993,0.14580378,-0.03430078,-0.54785967,-0.8333532,-0.20274241,-0.6743183,-0.73578686,-0.46765453,-0.22019772,0.3361419,-0.45010102,-0.47869006,-0.32251132,0.49840626,0.2472212,-0.7411923,-0.667982,-0.695503,-0.6620346,-0.62722266,0.44160143,0.61875504,-0.2679833,0.21842186,-0.30383906,-0.39490366,0.30726728,-0.6320111,0.3905017,-0.13387795,-0.5275957,-0.0353894,0.046249654,0.46239397,0.7568399,-0.17939653,0.09220706,0.30707592,0.2360661,-0.2929936,0.6664399,0.087135136,0.37683734,-0.22038823,-0.2755415,11,1
-0.95990235,-0.6112406,0.698315,0.21397981,-0.30859122,-0.45845968,-0.37036005,0.38087025,-0.72475797,0.35223565,-0.47819078,-0.45178178,-0.74395174,-0.35412723,0.69866776,0.13777286,0.16845605,0.0634297,-0.78799987,0.5134216,0.09860432,0.3595054,-0.06053382,-0.78407663,-0.5855993,-0.19492622,-0.6200287,-0.50534636,-0.78764623,-0.5992193,0.18086474,-0.8392459,-0.49009347,0.20457691,0.6989169,0.15065493,-0.5932299,-0.54507685,-0.68539596,-0.38733464,-0.5709863,0.6878744,0.47049636,0.39440772,0.71698964,-0.16336383,-0.30918995,0.26712933,-0.1277823,0.68879247,0.18628792,-0.5556994,-0.09247018,0.50824714,0.25218588,0.43250299,-0.17667057,-0.6600133,0.7852815,0.3349647,0.10447199,0.6244325,-0.027995288,-0.108694956,-0.12820601,-0.19347444,5,1
-0.9138677,-0.06191034,0.38088477,-0.3276795,-0.41153747,-0.581301,-0.17168675,0.5709012,-0.74669,0.072437905,-0.69487166,-0.47999865,-0.50255936,-0.7119278,-0.1199425,0.56141734,0.34689665,0.30580112,-0.66303474,0.52016014,-0.45616388,-0.38400784,-0.030167423,-0.5489048,-0.73497045,-0.112910405,-0.37316313,-0.5611904,-0.7404461,-0.20288397,0.44098863,-0.8200366,0.12064396,-0.15883315,0.7705693,-0.1806941,-0.82046366,-0.46617755,-0.6351688,-0.47952548,-0.58856785,0.7544284,0.098406896,0.65968716,0.6864585,0.24405727,-0.29035386,0.34816006,-0.56195104,0.5654327,0.31660956,-0.7954227,-0.5029144,-0.18465453,-0.088146396,0.70405143,0.49990344,-0.31613022,0.6849713,-0.027900804,-0.27693802,0.31810874,0.18361226,0.03625368,0.5082716,-0.148005,5,1
-0.3398623,0.1367984,0.35085496,0.6381481,-0.24971835,-0.23514047,-0.2974349,-0.15927036,0.6823127,0.8955552,0.6840436,0.068943866,0.6195542,0.5155366,-0.3483012,0.15535249,0.6020603,0.4031968,0.5977962,0.13557385,0.68787134,0.056992076,0.68943524,0.1946132,0.33214596,0.4478308,0.4261277,0.72088146,0.26747707,0.7808349,-0.50234115,0.12103388,-0.038502857,-0.014425677,0.62594604,-0.0329507,0.08732041,0.86410296,0.72371465,0.29831803,0.76440835,-0.19046196,0.53272915,-0.14974162,0.6032157,0.049856894,0.7646447,0.7518578,0.29363108,-0.17410465,-0.01499536,0.30293602,-0.5216037,0.0051570823,-0.7829982,-0.5992183,0.0481246,-0.73169607,0.099823065,-0.40379554,0.72543156,0.5505948,0.8826763,0.24893612,0.9483096,0.87832147,4,1
-0.60385644,-0.25373438,0.8360565,0.5987482,0.11491118,-0.839788,-0.6252426,0.5128802,0.35295865,0.90266687,-0.06672283,-0.09079253,0.16809712,-0.13947399,-0.04432134,0.49077553,0.57153517,0.7435387,-0.08810098,0.6953216,0.5721634,-0.053770367,0.7355873,-0.57688314,0.14329727,0.5568066,0.57175654,0.64668673,0.42642242,0.79075694,0.2656378,-0.77923435,-0.13791066,0.28783455,0.4794923,0.34060276,-0.11397827,0.047456056,0.036249705,-0.2951493,0.06751485,0.73056114,0.43805894,0.49870536,-0.15412347,0.12297563,0.14525832,0.79410714,-0.3352973,-0.04128423,-0.106994346,0.7294769,-0.07620404,-0.34719792,-0.51516896,-0.33786982,0.6542751,-0.6600961,0.7963265,0.06364264,0.56886655,0.80780673,0.5567443,-0.22749451,0.8721819,0.6612951,9,1
-0.9046864,-0.7579271,0.31326994,-0.38076043,-0.5526823,-0.6608739,-0.17259696,0.21965827,-0.2391075,0.49509895,-0.7582336,-0.2157175,-0.80968237,-0.851996,0.30676192,0.61993295,0.4114969,0.38948992,-0.7538008,0.6256613,-0.058135774,0.37384155,-0.4018717,-0.36674517,-0.3679404,0.4572112,0.253984,-0.100042604,-0.52223235,0.67132986,0.26055396,-0.8124986,-0.6489833,-0.4405111,0.8379686,0.13728692,-0.6023708,-0.8875931,-0.66287583,-0.9240027,-0.64267474,0.42738843,0.5631063,-0.16572608,0.17929468,-0.24959002,-0.5582685,0.24610594,-0.7959567,0.5240998,-0.04394816,-0.47055522,0.15231097,-0.23871009,0.5552211,0.34739506,0.3364648,-0.2801298,0.60546917,0.42939863,0.14365065,0.5502252,0.6499535,-0.14859739,0.397714,0.29426247,7,1
