split,stage,accuracy,precision,recall,f1,roc_auc,false_positive_rate,false_negative_rate
validation_tabular,baseline,1.0,1.0,1.0,1.0,1.0,0.0,0.0
test_tabular,baseline,0.9696969696969697,0.96875,1.0,0.9841269841269841,0.9032258064516129,0.5,0.0
validation_sequence,baseline,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8636363636363636,1.0,0.09090909090909091
test_sequence,baseline,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.9318181818181819,1.0,0.0
validation_tabular,robust,1.0,1.0,1.0,1.0,1.0,0.0,0.0
test_tabular,robust,0.9696969696969697,0.96875,1.0,0.9841269841269841,0.9838709677419355,0.5,0.0
validation_sequence,robust,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.9318181818181819,1.0,0.0
test_sequence,robust,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.75,1.0,0.0
test_adversarial_tabular,baseline,1.0,1.0,1.0,1.0,,0.0,0.0
test_adversarial_sequence,baseline,0.9545454545454546,1.0,0.9545454545454546,0.9767441860465116,,0.0,0.045454545454545456
test_adversarial_tabular,robust,1.0,1.0,1.0,1.0,,0.0,0.0
test_adversarial_sequence,robust,1.0,1.0,1.0,1.0,,0.0,0.0
