tabular_train_loss,sequence_train_loss,tabular_validation_loss,sequence_validation_loss
0.695772131284078,0.45109836260477704,0.5123047828674316,0.3292427361011505
0.4494226674238841,0.20065843810637793,0.36184799671173096,0.2734033167362213
0.3235938052336375,0.1460639958580335,0.2779419422149658,0.28393903374671936
0.25505192081133526,0.13097408910592398,0.22663183510303497,0.3000034689903259
0.20246155560016632,0.1271230559796095,0.18882444500923157,0.2982015013694763
0.1732082962989807,0.09404635429382324,0.15837763249874115,0.31797754764556885
0.15066984792550406,0.10083714996774991,0.13372619450092316,0.32014963030815125
0.137479138871034,0.0813701090713342,0.11302822083234787,0.34181156754493713
0.11632891992727916,0.07763134292326868,0.0962960496544838,0.35494264960289
0.09897713114817937,0.07598006345021228,0.0825524777173996,0.3561766445636749
0.08750910808642705,0.06770459461646776,0.0715196430683136,0.3458378314971924
0.08189595490694046,0.05908890014203886,0.06262675672769547,0.33821526169776917
0.07080074027180672,0.05458688115080198,0.05545087531208992,0.3110201060771942
0.06772030641635259,0.05232023874608179,0.0497254952788353,0.27693814039230347
0.06109787399570147,0.04366180506379654,0.045087628066539764,0.2244834452867508
0.0559371734658877,0.04157827654853463,0.04117869585752487,0.19958026707172394
0.05179084092378616,0.039796764380298555,0.037777651101350784,0.2152692824602127
0.045779574662446976,0.036178740401131414,0.03473970666527748,0.20016168057918549
